#Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU26057	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
OTU26058	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU26059	Bacteria	NA	NA	NA	NA	NA	NA
OTU26060	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	NA	NA	NA
OTU26061	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU26062	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA
OTU26063	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA
OTU26064	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU26065	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
OTU26066	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA
OTU26068	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	NA
OTU26069	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_AC2044_group	NA
OTU26070	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA
OTU26071	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium]_coprostanoligenes_group	NA	NA
OTU26072	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	NA
OTU26073	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA
OTU26074	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU26075	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Brucella	NA
OTU26076	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Jeotgalicoccus	NA
OTU26077	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	NA	NA
OTU26078	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU26079	Bacteria	Firmicutes	Clostridia	Lachnospirales	NA	NA	NA
OTU26080	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
OTU26081	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA
OTU26082	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
OTU26083	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA	NA
OTU26084	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	NA	NA	NA
OTU26085	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	NA
OTU26086	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU26087	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
OTU26088	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
OTU26089	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
OTU26090	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	NA	NA
OTU26091	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group	NA
OTU26092	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
OTU26093	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA
OTU26094	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA
OTU26095	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	NA
OTU26096	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	NA	NA	NA
OTU26097	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	NA	NA
OTU26098	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas	NA
OTU26099	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
OTU26100	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
OTU26101	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	NA	NA	NA
OTU26102	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
OTU26103	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
OTU26104	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	T2WK15B57	NA
OTU26105	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
OTU26106	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	NA	NA
OTU26107	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	NA
OTU26108	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA
